-0.0659577	0.0892857
-0.0469366	0.178571
-0.0279154	0.178571
-0.0088943	0.357143
0.0101268	0.535714
0.029148	0.625
0.0481691	0.714286
0.0671903	1.16071
0.0862114	2.23214
0.105233	3.03571
0.124254	4.64286
0.143275	5.625
0.162296	6.60714
0.181317	8.39286
0.200338	10
0.219359	10.3571
0.238381	11.25
0.257402	10.5357
0.276423	7.76786
0.295444	5.53571
0.314465	3.48214
0.333486	1.69643
0.352507	1.07143
0.371529	0.982143
0.39055	0.714286
0.409571	0.625
0.428592	0.446429
0.447613	0.357143
0.466634	0.178571
0.485655	0.178571
