0.0437108	0.625
0.0560003	1.96429
0.0682898	3.21429
0.0805793	5.17857
0.0928688	6.875
0.105158	8.03571
0.117448	8.83929
0.129737	8.30357
0.142027	7.23214
0.154316	6.78571
0.166606	6.07143
0.178895	5
0.191185	5.17857
0.203474	4.91071
0.215764	4.19643
0.228053	3.48214
0.240343	2.85714
0.252632	2.05357
0.264922	1.69643
0.277211	1.16071
0.289501	0.982143
0.30179	0.892857
0.31408	0.892857
0.326369	0.714286
0.338659	0.714286
0.350948	0.535714
0.363238	0.178571
0.375527	0.267857
0.387817	0.178571
0.400106	0.267857
