Index,TargetPosAngle,EyePosAngle,AngleDifference
0,1.5707963266949097,1.5707963266949059,3.774758283725532e-15
0,1.5707963266949097,1.5707963266949057,3.9968028886505635e-15
0,1.5707963266949097,1.5707963266949054,4.218847493575595e-15
0,1.5707963266949097,1.5707963266949052,4.440892098500626e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949039,5.773159728050814e-15
0,1.5707963266949097,1.5707963266949039,5.773159728050814e-15
0,1.5707963266949097,1.5707963266949039,5.773159728050814e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.570796326694903,6.661338147750939e-15
0,1.5707963266949097,1.570796326694903,6.661338147750939e-15
0,1.5707963266949097,1.570796326694903,6.661338147750939e-15
0,1.5707963266949097,1.570796326694903,6.661338147750939e-15
0,1.5707963266949097,1.5707963266949032,6.439293542825908e-15
0,1.5707963266949097,1.5707963266949028,6.8833827526759706e-15
0,1.5707963266949097,1.5707963266949032,6.439293542825908e-15
0,1.5707963266949097,1.5707963266949032,6.439293542825908e-15
0,1.5707963266949097,1.570796326694903,6.661338147750939e-15
0,1.5707963266949097,1.5707963266949034,6.217248937900877e-15
0,1.5707963266949097,1.5707963266949034,6.217248937900877e-15
0,1.5707963266949097,1.5707963266949043,5.329070518200751e-15
0,1.5707963266949097,1.570796326694904,5.551115123125783e-15
0,1.5707963266949097,1.570796326694904,5.551115123125783e-15
0,1.5707963266949097,1.570796326694904,5.551115123125783e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949039,5.773159728050814e-15
0,1.5707963266949097,1.5707963266949034,6.217248937900877e-15
0,1.5707963266949097,1.5707963266949039,5.773159728050814e-15
0,1.5707963266949097,1.570796326694903,6.661338147750939e-15
0,1.5707963266949097,1.5707963266949028,6.8833827526759706e-15
0,1.5707963266949097,1.5707963266949028,6.8833827526759706e-15
0,1.5707963266949097,1.570796326694903,6.661338147750939e-15
0,1.5707963266949097,1.5707963266949034,6.217248937900877e-15
0,1.5707963266949097,1.5707963266949032,6.439293542825908e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949034,6.217248937900877e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949039,5.773159728050814e-15
0,1.5707963266949097,1.570796326694904,5.551115123125783e-15
0,1.5707963266949097,1.570796326694904,5.551115123125783e-15
0,1.5707963266949097,1.5707963266949043,5.329070518200751e-15
0,1.5707963266949097,1.5707963266949048,4.884981308350689e-15
0,1.5707963266949097,1.570796326694905,4.6629367034256575e-15
0,1.5707963266949097,1.570796326694905,4.6629367034256575e-15
0,1.5707963266949097,1.5707963266949052,4.440892098500626e-15
0,1.5707963266949097,1.5707963266949057,3.9968028886505635e-15
0,1.5707963266949097,1.5707963266949054,4.218847493575595e-15
0,1.5707963266949097,1.5707963266949059,3.774758283725532e-15
0,1.5707963266949097,1.5707963266949054,4.218847493575595e-15
0,1.5707963266949097,1.5707963266949052,4.440892098500626e-15
0,1.5707963266949097,1.570796326694905,4.6629367034256575e-15
0,1.5707963266949097,1.5707963266949048,4.884981308350689e-15
0,1.5707963266949097,1.5707963266949052,4.440892098500626e-15
0,1.5707963266949097,1.5707963266949045,5.10702591327572e-15
0,1.5707963266949097,1.570796326694905,4.6629367034256575e-15
0,1.5707963266949097,1.5707963266949054,4.218847493575595e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949032,6.439293542825908e-15
0,1.5707963266949097,1.5707963266949043,5.329070518200751e-15
0,1.5707963266949097,1.570796326694904,5.551115123125783e-15
0,1.5707963266949097,1.570796326694904,5.551115123125783e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949032,6.439293542825908e-15
0,1.5707963266949097,1.570796326694903,6.661338147750939e-15
0,1.5707963266949097,1.570796326694904,5.551115123125783e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949039,5.773159728050814e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949034,6.217248937900877e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949034,6.217248937900877e-15
0,1.5707963266949097,1.5707963266949034,6.217248937900877e-15
0,1.5707963266949097,1.5707963266949039,5.773159728050814e-15
0,1.5707963266949097,1.5707963266949039,5.773159728050814e-15
0,1.5707963266949097,1.5707963266949039,5.773159728050814e-15
0,1.5707963266949097,1.570796326694904,5.551115123125783e-15
0,1.5707963266949097,1.5707963266949039,5.773159728050814e-15
0,1.5707963266949097,1.5707963266949043,5.329070518200751e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.5707963266949037,5.995204332975845e-15
0,1.5707963266949097,1.570796326694903,6.661338147750939e-15
0,1.5707963266949097,1.570796326694903,6.661338147750939e-15
0,1.5707963266949097,1.5707963266949028,6.8833827526759706e-15
0,1.5707963266949097,1.5707963266949034,6.217248937900877e-15
0,1.5707963266949097,1.5707963266949025,7.105427357601002e-15
0,1.5707963266949097,1.570796326694903,6.661338147750939e-15
0,1.5707963266949097,1.5707963266949028,6.8833827526759706e-15
0,1.5707963266949097,1.570796326694903,6.661338147750939e-15
0,1.5707963266949097,1.5707963266949032,6.439293542825908e-15
0,1.5707963266949097,1.5707963266949032,6.439293542825908e-15
0,1.5707963266949097,1.5707963266949028,6.8833827526759706e-15
0,1.5707963266949097,1.5707963266949023,7.327471962526033e-15
0,1.5707963266949097,1.5707963266949023,7.327471962526033e-15
0,1.5707963266949097,1.5707963266949023,7.327471962526033e-15
0,1.5707963266949097,1.570796326694902,7.549516567451064e-15
0,1.5707963266949097,1.5707963266949017,7.993605777301127e-15
0,1.5707963266949097,1.5707963266949017,7.993605777301127e-15
0,1.5707963266949097,1.5707963266949014,8.215650382226158e-15
0,1.5707963266949097,1.5707963266949017,7.993605777301127e-15
0,1.5707963266949097,1.5707963266949014,8.215650382226158e-15
0,1.5707963266949097,1.5707963266949012,8.43769498715119e-15
0,1.5707963266949097,1.5707963266949017,7.993605777301127e-15
0,1.5707963266949097,1.5707963266949014,8.215650382226158e-15
0,1.5707963266949097,1.5707963266949017,7.993605777301127e-15
0,1.5707963266949097,1.5707963266949012,8.43769498715119e-15
0,1.5707963266949097,1.5707963266949017,7.993605777301127e-15
0,1.5707963266949097,1.5707963266949014,8.215650382226158e-15
0,1.5707963266949097,1.5707963266949012,8.43769498715119e-15
0,1.5707963266949097,1.5707963266949012,8.43769498715119e-15
0,1.5707963266949097,1.5707963266949012,8.43769498715119e-15
