0.0400726	0.136986
0.0401869	0.273973
0.0403011	0.273973
0.0404154	0.273973
0.0405296	0.273973
0.0406438	0.410959
0.0407581	0.273973
0.0408723	0.547945
0.0409866	0.547945
0.0411008	0.684932
0.0412151	0.547945
0.0413293	0.684932
0.0414435	0.547945
0.0415578	0.958904
0.041672	1.09589
0.0417863	0.958904
0.0419005	1.36986
0.0420148	2.05479
0.042129	2.05479
0.0422432	2.05479
0.0423575	2.46575
0.0424717	2.87671
0.042586	2.87671
0.0427002	3.9726
0.0428145	4.93151
0.0429287	6.16438
0.0430429	7.39726
0.0431572	8.76712
0.0432714	9.31507
0.0433857	10.9589
