0.00412428	0.0892857
0.00545591	0.267857
0.00678754	0.625
0.00811917	0.625
0.00945079	1.07143
0.0107824	1.78571
0.012114	2.23214
0.0134457	2.67857
0.0147773	3.21429
0.0161089	4.01786
0.0174406	3.57143
0.0187722	3.83929
0.0201038	4.01786
0.0214354	4.28571
0.0227671	4.46429
0.0240987	5
0.0254303	5
0.026762	4.55357
0.0280936	4.91071
0.0294252	3.66071
0.0307568	3.48214
0.0320885	3.125
0.0334201	3.125
0.0347517	2.41071
0.0360833	2.58929
0.037415	2.32143
0.0387466	2.58929
0.0400782	2.94643
0.0414099	3.30357
0.0427415	4.19643
