0.176791	0.136986
0.188261	0.136986
0.199732	0.136986
0.211202	0.136986
0.222672	0.410959
0.234142	0.410959
0.245613	0.821918
0.257083	0.958904
0.268553	1.36986
0.280023	1.91781
0.291493	2.32877
0.302964	2.32877
0.314434	3.28767
0.325904	4.38356
0.337374	4.93151
0.348845	5.47945
0.360315	6.57534
0.371785	6.30137
0.383255	7.26027
0.394726	7.12329
0.406196	7.39726
0.417666	6.57534
0.429136	6.0274
0.440606	4.65753
0.452077	3.83562
0.463547	3.0137
0.475017	2.87671
0.486487	2.87671
0.497958	1.91781
0.509428	1.78082
