0.214934	0.178571
0.228018	0.178571
0.241102	0.267857
0.254186	0.446429
0.26727	0.446429
0.280354	0.446429
0.293438	0.446429
0.306522	0.535714
0.319606	0.357143
0.33269	0.803571
0.345774	0.982143
0.358858	1.78571
0.371942	2.05357
0.385026	3.03571
0.39811	3.57143
0.411194	4.64286
0.424278	5.08929
0.437362	6.875
0.450446	8.03571
0.46353	8.48214
0.476614	8.57143
0.489698	8.75
0.502782	7.85714
0.515866	6.60714
0.52895	5.71429
0.542034	4.73214
0.555118	3.30357
0.568202	2.23214
0.581286	1.42857
0.59437	0.982143
