0.0748222	0.0892857
0.0920815	0.0892857
0.109341	0.0892857
0.1266	0.0892857
0.143859	0.0892857
0.161118	0
0.178378	0
0.195637	0
0.212896	0.178571
0.230155	0.178571
0.247415	0.267857
0.264674	0.267857
0.281933	0.267857
0.299192	0.0892857
0.316452	0.267857
0.333711	0.267857
0.35097	0.892857
0.368229	1.78571
0.385489	2.76786
0.402748	3.75
0.420007	5.17857
0.437266	5.89286
0.454526	7.32143
0.471785	9.73214
0.489044	10.8929
0.506303	11.3393
0.523563	11.0714
0.540822	9.91071
0.558081	6.875
0.57534	4.82143
