32,2156992768,3992,-15872,760,-155,12,49,18688,-9729,23808,31704,-6468,-4091,1024,1024,1024,
32,2542868736,3892,-15784,784,-134,45,97,17664,-8705,23808,-30625,-24142,15666,1024,1024,1024,
32,2962299136,3844,-15824,760,-108,41,81,18432,-7937,24064,27540,32712,-31663,1024,1024,1024,
32,3364952320,3872,-15780,796,-109,8,75,18944,-9985,23040,-3551,1100,-13231,1024,1024,1024,
32,3784382720,3952,-15720,804,-147,62,51,18176,-8705,23808,1724,-13105,-11858,1024,1024,1024,
32,4187035904,3832,-15796,664,-129,19,92,18176,-10241,23296,-25183,21641,13824,1024,1024,1024,
32,294787328,3896,-15788,812,-133,39,73,18688,-8193,23808,-30477,7223,3967,1024,1024,1024,
32,697440512,3932,-15736,788,-128,56,66,18176,-8193,23296,4231,14892,20998,1024,1024,1024,
32,1116870912,3872,-15836,820,-151,53,73,18176,-9729,24320,23954,-7505,29554,1024,1024,1024,
32,1536301312,3896,-15792,768,-125,42,90,20736,-7681,24320,-31922,-29966,-23502,1024,1024,1024,
32,1938954496,3916,-15844,584,-123,43,60,19968,-8961,24064,25951,32320,-4928,1024,1024,1024,
32,2358384896,4008,-15784,684,-134,16,61,18432,-9985,24576,-4954,8821,28480,1024,1024,1024,
32,2744260864,3928,-15840,796,-144,54,86,18688,-8705,22784,8984,-22858,-30347,1024,1024,1024,
32,3163691264,3868,-15764,644,-133,36,75,19200,-9217,24320,624,-16972,6620,1024,1024,1024,
32,3566344448,3836,-15840,500,-145,39,91,18176,-7681,23808,-3454,27479,-2214,1024,1024,1024,
32,3985774848,3836,-15736,620,-138,22,72,17664,-8705,25344,-2932,15066,-30157,1024,1024,1024,
32,110303488,3952,-15940,664,-137,36,64,19456,-8449,24576,-22428,-8428,13308,1024,1024,1024,
32,496179456,3896,-15720,672,-137,82,81,19200,-8705,22784,-25757,8768,22927,1024,1024,1024,
32,915609856,3852,-15860,760,-142,63,78,19200,-8193,23808,-31849,16838,-5241,1024,1024,1024,
32,1318263040,3828,-15784,796,-124,25,90,18944,-8449,23552,-29356,10384,14829,1024,1024,1024,
32,1737693440,3824,-15768,832,-143,50,74,18176,-9217,23296,-21531,21828,14355,1024,1024,1024,
32,2157123840,3896,-15772,760,-140,57,102,18432,-8961,24064,-22054,-17659,25645,1024,1024,1024,
32,2542999808,3872,-15832,828,-122,51,100,18176,-8193,23296,-25190,4140,-5778,1024,1024,1024,
32,2962430208,3816,-15804,776,-135,59,58,18176,-8705,24832,21751,25916,-27884,1024,1024,1024,
32,3365083392,3864,-15828,764,-108,26,48,17408,-8449,24576,8587,-5032,-17934,1024,1024,1024,
32,3784513792,3864,-15696,804,-148,26,108,18432,-9473,24576,-12841,1402,-14637,1024,1024,1024,
32,4187166976,3852,-15840,764,-126,49,89,17408,-7425,24576,26561,28865,-6658,1024,1024,1024,
32,2361268480,3892,-15816,708,-128,24,75,18688,-8705,23296,2856,8842,17293,1024,1024,1024,
32,2747144448,3868,-15720,792,-137,52,71,18432,-7937,23552,11524,-21449,29212,1024,1024,1024,
32,3166574848,3852,-15800,816,-148,21,80,19456,-8449,24576,21713,9031,15240,1024,1024,1024,
32,3569228032,3808,-15760,704,-101,26,57,17664,-7681,24320,6940,2152,9753,1024,1024,1024,
32,1539184896,3924,-15856,656,-120,40,83,17408,-9473,23040,-23789,20793,-17280,1024,1024,1024,
32,1941838080,3852,-15788,792,-144,29,92,20480,-8449,24064,-23697,27036,16585,1024,1024,1024,
32,2361268480,3892,-15816,708,-128,24,75,18688,-8705,23296,2856,8842,17293,1024,1024,1024,
32,2747144448,3868,-15720,792,-137,52,71,18432,-7937,23552,11524,-21449,29212,1024,1024,1024,
32,3166574848,3852,-15800,816,-148,21,80,19456,-8449,24576,21713,9031,15240,1024,1024,1024,
32,3569228032,3808,-15760,704,-101,26,57,17664,-7681,24320,6940,2152,9753,1024,1024,1024,
32,3988658432,3936,-15928,876,-176,23,71,19712,-8705,24832,28518,-6985,21565,1024,1024,1024,
32,113187072,3816,-15712,724,-120,29,70,17152,-7681,24832,15897,-25077,-29670,1024,1024,1024,
32,499063040,3864,-15784,860,-150,35,63,18432,-8961,25088,-27833,9716,-1429,1024,1024,1024,
32,918493440,3880,-15868,736,-155,24,63,18944,-7937,23552,10977,-14247,-2560,1024,1024,1024,
32,1321146624,3872,-15840,864,-145,41,55,16896,-8449,22528,-20269,-1257,-7999,1024,1024,1024,
32,1740577024,3948,-15752,852,-139,25,76,18432,-9473,24576,-10246,-29901,18226,1024,1024,1024,
32,2160007424,3848,-15880,768,-123,39,75,17152,-8193,24320,25528,374,-24699,1024,1024,1024,
32,2545883392,3888,-15900,772,-142,35,65,16896,-7425,23040,-7073,-19768,-2032,1024,1024,1024,
32,2965313792,3800,-15760,712,-123,20,81,18432,-8961,24064,-30506,-19546,28173,1024,1024,1024,
32,3367966976,3900,-15928,792,-116,32,90,18688,-8705,23808,-5115,26678,32033,1024,1024,1024,
32,3787397376,3928,-15680,760,-142,46,60,17408,-7937,24064,21848,18816,15332,1024,1024,1024,
32,4190050560,3912,-15816,716,-147,44,98,19456,-8449,24576,-22439,-1571,-17526,1024,1024,1024,
32,297801984,3852,-15668,660,-129,45,90,19200,-8193,23296,-30131,-13883,-10225,1024,1024,1024,
32,700455168,4004,-15836,776,-144,41,85,18944,-8961,23552,-3044,5088,5150,1024,1024,1024,
32,1119885568,3860,-15708,656,-123,40,71,17920,-8449,26112,-32304,3555,28898,1024,1024,1024,
32,1539315968,3944,-15864,764,-121,22,81,19200,-8193,23296,-11475,18861,16349,1024,1024,1024,
32,1941969152,3992,-15764,756,-142,43,83,18944,-8449,24064,-32449,-7919,-10413,1024,1024,1024,
32,2361399552,3980,-15872,688,-138,56,76,19968,-8961,24576,10996,16480,6071,1024,1024,1024,
32,2747275520,3832,-15736,680,-166,38,83,18176,-8193,24320,12249,31924,24314,1024,1024,1024,
32,3166705920,3900,-15900,872,-139,36,74,17152,-8705,23296,12097,3866,10591,1024,1024,1024,
32,3569359104,3952,-15836,668,-132,56,92,18176,-8705,24832,-10044,24532,6985,1024,1024,1024,
32,3988789504,3880,-15712,732,-127,29,86,18688,-8705,23808,6179,19271,23103,1024,1024,1024,
32,113318144,3896,-15772,876,-136,61,78,19200,-7169,23808,-24143,30696,29419,1024,1024,1024,
32,499194112,3820,-15800,788,-139,38,103,18176,-9217,24832,-6534,-31500,16806,1024,1024,1024,
32,918624512,3952,-15856,692,-136,58,92,18688,-7169,23808,-16302,23209,22793,1024,1024,1024,
32,1321277696,3868,-15800,732,-139,53,78,18944,-8449,23040,12611,-10837,30368,1024,1024,1024,
32,1740708096,3832,-15856,660,-122,16,84,18176,-8193,23808,23188,28598,28026,1024,1024,1024,
32,2160138496,3784,-15752,648,-125,57,53,17664,-9217,24832,-16614,-4014,-19306,1024,1024,1024,
