Rotation_OutDotSegSignStd_StatMean
Rotation_OutDotSegSignRMS_StatMean
RotationSpeed_OutDotSegSignShannon_StatMean
PressureSpeed_OutDotSegSignRenyi_StatMean
Rotation_OutDotSegSignMainFrequencyPower_StatMean
RotationSpeed_OutDotSegSignRMS_StatMean
Rotation_OutDotSegSignStd_StatMax
PressureSpeed_OutDotSegSignRenyi_StatSum
Rotation_OutDotSegSignRMS_StatMax
PressureSpeed_OutDotSegSignShannon_StatMean
RotationSpeed_OutDotSegSignTraversingTimes_StatMean
Rotation_OutDotSegSignMainFrequencyPower_StatMax
Pressure_OutDotSegStatQ1_StatMean
Pressure_OutDotSegSignMainFrequency_StatMean
Pressure_OutDotSegStatMin_StatMean
PressureAcceleration_OutDotSegSignShannon_StatMean
PressureSpeed_OutDotSegSignTraversingRate_StatMax
PressureAcceleration_OutDotSegSignShannon_StatMax
SpeedX_OutDotSegSignMFPTP_StatMean
PressureSpeed_OutDotSegSignMainFrequency_StatMean
AccelerationY_OutDotSegSignTraversingTimes_StatMean
Pressure_OutDotSegSignStd_StatMean
Rotation_OutDotSegStatMin_StatMean
Pressure_OutDotSegStatMin_StatMin
Pressure_OutDotSegSignTraversingRate_StatMean
PressureSpeed_OutDotSegSignTraversingRate_StatSum
PressureSpeed_OutDotSegSignShannon_StatMax
FiltingOffset_OutDotSegStatMax_StatMax
RotationSpeed_OutDotSegSignTraversingTimes_StatSum
PressureAcceleration_OutDotSegSignRenyi_StatMax
Rotation_OutDotSegSignMainFrequency_StatMean
RotationSpeed_OutDotSegSignMainFrequency_StatMax
SpeedX_OutDotSegSignShannon_StatMean
SpeedX_OutDotSegSignMFPTP_StatMin
Rotation_OutDotSegStatStd_StatMin
CurvatureABS_OutDotSegStatStd_StatMean
PositionY_OutDotSegSignRenyi_StatMean
AccelerationY_OutDotSegSignMainFrequency_StatMean
AltitudeSpeed_OutDotSegSignMainFrequency_StatMax
AccelerationY_OutDotSegSignShannon_StatMin
Rotation_OutDotSegStatQ3_StatMin
AccelerationY_OutDotSegSignTraversingRate_StatMin
RotationSpeed_OutDotSegSignTraversingRate_StatMean
CurvatureABS_OutDotSegStatSum_StatMax
Altitude_OutDotSegStatMean_StatMax
Altitude_OutDotSegSignTraversingTimes_StatMax
PositionY_OutDotSegSignTraversingRate_StatMin
